,F1-Macro,F1-Micro,F1-Weighted,Precision-Macro,Precision-Micro,Precision-Weighted,Recall-Macro,Recall-Micro,Recall-Weighted
0,0.4456521739130435,0.8039215686274509,0.7165387894288151,0.4019607843137255,0.803921568627451,0.6462898885044214,0.5,0.803921568627451,0.803921568627451
1,0.49,0.9607843137254902,0.9415686274509804,0.4803921568627451,0.9607843137254902,0.9231064975009613,0.5,0.9607843137254902,0.9607843137254902
2,0.47959183673469385,0.9215686274509803,0.9215686274509803,0.47959183673469385,0.9215686274509803,0.9215686274509803,0.47959183673469385,0.9215686274509803,0.9215686274509803
3,0.4795918367346939,0.9215686274509803,0.8839535814325731,0.46078431372549017,0.9215686274509803,0.8492887351018839,0.5,0.9215686274509803,0.9215686274509803
4,0.4456521739130435,0.8039215686274509,0.7864450127877238,0.43617021276595747,0.803921568627451,0.769712140175219,0.45555555555555555,0.803921568627451,0.803921568627451
5,0.4574468085106383,0.8431372549019607,0.8431372549019608,0.4574468085106383,0.8431372549019608,0.8431372549019608,0.4574468085106383,0.8431372549019608,0.8431372549019608
6,0.46875,0.8823529411764706,0.8272058823529411,0.4411764705882353,0.8823529411764706,0.7785467128027681,0.5,0.8823529411764706,0.8823529411764706
7,0.46875000000000006,0.8823529411764706,0.8639705882352943,0.45918367346938777,0.8823529411764706,0.8463385354141657,0.4787234042553192,0.8823529411764706,0.8823529411764706
8,0.4795918367346939,0.9215686274509803,0.8839535814325731,0.46078431372549017,0.9215686274509803,0.8492887351018839,0.5,0.9215686274509803,0.9215686274509803
9,0.49,0.9607843137254902,0.9415686274509804,0.4803921568627451,0.9607843137254902,0.9231064975009613,0.5,0.9607843137254902,0.9607843137254902
