,F1-Macro,F1-Micro,F1-Weighted,Precision-Macro,Precision-Micro,Precision-Weighted,Recall-Macro,Recall-Micro,Recall-Weighted
0,0.4686411149825784,0.8819672131147541,0.8266521962643514,0.44098360655737706,0.8819672131147541,0.7778661650094061,0.5,0.8819672131147541,0.8819672131147541
1,0.4686411149825784,0.8819672131147541,0.8266521962643514,0.44098360655737706,0.8819672131147541,0.7778661650094061,0.5,0.8819672131147541,0.8819672131147541
2,0.4686411149825784,0.8819672131147541,0.8266521962643514,0.44098360655737706,0.8819672131147541,0.7778661650094061,0.5,0.8819672131147541,0.8819672131147541
3,0.4572953736654804,0.8426229508196721,0.8066390525640277,0.43856655290102387,0.8426229508196721,0.7736026408549208,0.47769516728624534,0.8426229508196721,0.8426229508196721
4,0.4686411149825784,0.8819672131147541,0.8266521962643514,0.44098360655737706,0.8819672131147541,0.7778661650094061,0.5,0.8819672131147541,0.8819672131147541
5,0.4899665551839465,0.9606557377049181,0.9413783650419432,0.48032786885245904,0.9606557377049181,0.9228594463853803,0.5,0.9606557377049181,0.9606557377049181
6,0.47948717948717945,0.9211822660098522,0.8833901730453455,0.4605911330049261,0.9211822660098522,0.848576767211046,0.5,0.9211822660098522,0.9211822660098522
7,0.47948717948717945,0.9211822660098522,0.8833901730453455,0.4605911330049261,0.9211822660098522,0.848576767211046,0.5,0.9211822660098522,0.9211822660098522
8,0.47948717948717945,0.9211822660098522,0.8833901730453455,0.4605911330049261,0.9211822660098522,0.848576767211046,0.5,0.9211822660098522,0.9211822660098522
9,0.47948717948717945,0.9211822660098522,0.8833901730453455,0.4605911330049261,0.9211822660098522,0.848576767211046,0.5,0.9211822660098522,0.9211822660098522
